LitterRef	Weight	MotherID	DateOfBirth	flag	Number_total	BodyLength
156	12	G10F020	12/3/15	1	8	18
189	12	G10F020	3/31/16	0	8	18
189	9	G10F020	3/31/16	0	8	18
251	7	G10F020	11/15/16	0	7	17.9
251	10	G10F020	11/15/16	0	7	17.9
298	10	G10F020	3/3/17	0	7	18
298	11	G10F020	3/3/17	0	7	18
358	11	G10F024	9/22/17	1	5	18.5
377	13	G10F026	10/27/17	1	6	16.7
377	13	G10F026	10/27/17	1	6	16.7
60	12	G11F007	9/27/14	0	6	18.65
177	10	G11F007	2/6/16	0	6	18.5
232	8	G11F007	9/7/16	0	7	18.85
232	8	G11F007	9/7/16	0	7	18.85
271	9	G11F007	12/23/16	0	8	18.85
271	10	G11F007	12/23/16	0	8	18.85
316	9	G11F007	4/17/17	0	6	19
436	10	G11F007	6/15/18	0	2	18.4
481	10	G11F007	12/29/18	0	5	18.75
18	14	G11F007	3/2/14	0	5	18.7
60	14	G11F007	9/27/14	0	6	18.65
110	13	G11F007	4/25/15	0	6	18.65
110	11	G11F007	4/25/15	0	6	18.65
177	9	G11F007	2/6/16	0	6	18.5
203	10	G11F007	5/23/16	0	6	17.3
203	9	G11F007	5/23/16	0	6	17.3
271	10	G11F007	12/23/16	0	8	18.85
271	11	G11F007	12/23/16	0	8	18.85
316	7	G11F007	4/17/17	0	6	19
345	12	G11F007	7/31/17	0	6	19
380	9	G11F007	11/15/17	0	6	18.5
380	9	G11F007	11/15/17	0	6	18.5
76	11	G12F002	11/30/14	0	5	19.1
19	11	G12F002	3/2/14	1	5	19.1
39	12	G12F002	6/21/14	0	6	19.1
39	12	G12F002	6/21/14	0	6	19.1
29	10	G13F005	4/8/14	0	7	17.5
29	9	G13F005	4/8/14	0	7	17.5
29	11	G13F005	4/8/14	0	7	17.5
83	10	G13F005	1/5/15	0	6	18.1
124	9	G13F005	7/12/15	0	8	17.75
218	7	G13F005	7/17/16	0	8	18.25
247	10	G13F005	11/5/16	0	9	18.25
247	9	G13F005	11/5/16	0	9	18.25
247	11	G13F005	11/5/16	0	9	18.25
247	10	G13F005	11/5/16	0	9	18.25
293	6	G13F005	2/24/17	0	9	18.25
360	9	G13F005	9/26/17	0	7	18.75
360	8	G13F005	9/26/17	0	7	18.75
422	7	G13F005	4/28/18	0	7	18.25
472	4	G13F005	12/8/18	0	9	18.15
83	10	G13F005	1/5/15	0	6	18.1
124	10	G13F005	7/12/15	0	8	17.75
124	9	G13F005	7/12/15	0	8	17.75
124	7	G13F005	7/12/15	0	8	17.75
192	11	G13F005	4/2/16	0	5	18.1
218	10	G13F005	7/17/16	0	8	18.25
218	9	G13F005	7/17/16	0	8	18.25
218	7	G13F005	7/17/16	0	8	18.25
247	9	G13F005	11/5/16	0	9	18.25
293	9	G13F005	2/24/17	0	9	18.25
293	9	G13F005	2/24/17	0	9	18.25
293	8	G13F005	2/24/17	0	9	18.25
293	9	G13F005	2/24/17	0	9	18.25
422	8	G13F005	4/28/18	0	7	18.25
422	7	G13F005	4/28/18	0	7	18.25
472	7	G13F005	12/8/18	0	9	18.15
472	8	G13F005	12/8/18	0	9	18.15
472	8	G13F005	12/8/18	0	9	18.15
472	7	G13F005	12/8/18	0	9	18.15
48	10	G1F002	7/27/14	0	8	18.2
48	9	G1F002	7/27/14	0	8	18.2
125	12	G1F002	7/13/15	0	7	17.9
125	10	G1F002	7/13/15	0	7	17.9
48	10	G1F002	7/27/14	0	8	18.2
48	10	G1F002	7/27/14	0	8	18.2
95	9	G1F002	2/14/15	0	8	17.95
95	11	G1F002	2/14/15	0	8	17.95
95	9	G1F002	2/14/15	0	8	17.95
95	10	G1F002	2/14/15	0	8	17.95
125	10	G1F002	7/13/15	0	7	17.9
160	9	G1F002	12/12/15	0	8	17.7
160	10	G1F002	12/12/15	0	8	17.7
160	10	G1F002	12/12/15	0	8	17.7
160	10	G1F002	12/12/15	0	8	17.7
51	12	G1F003	8/3/14	1	8	20.3
51	10	G1F003	8/3/14	1	8	20.3
51	12	G1F003	8/3/14	1	8	20.3
51	12	G1F003	8/3/14	1	8	20.3
94	14	G1F003	2/12/15	0	6	20.15
94	13	G1F003	2/12/15	0	6	20.15
7	8	G1F005	11/25/13	1	5	18.3
37	10	G1F005	6/6/14	0	9	18.3
37	9	G1F005	6/6/14	0	9	18.3
37	9	G1F005	6/6/14	0	9	18.3
37	10	G1F005	6/6/14	0	9	18.3
454	12	G1F005	8/28/18	0	7	19.8
7	9	G1F005	11/25/13	1	5	18.3
37	11	G1F005	6/6/14	0	9	18.3
85	8	G1F005	1/13/15	0	7	18.6
85	8	G1F005	1/13/15	0	7	18.6
85	10	G1F005	1/13/15	0	7	18.6
454	12	G1F005	8/28/18	0	7	19.8
454	10	G1F005	8/28/18	0	7	19.8
69	9	G1F006	10/17/14	0	8	18.55
69	9	G1F006	10/17/14	0	8	18.55
109	7	G1F006	4/20/15	0	6	18
166	10	G1F006	1/4/16	0	7	17.9
205	9	G1F006	5/26/16	0	8	18.1
237	10	G1F006	9/23/16	0	7	17.95
237	9	G1F006	9/23/16	0	7	17.95
337	8	G1F006	6/18/17	0	7	18.6
337	26	G1F006	6/18/17	0	7	18.6
403	11	G1F006	2/3/18	0	5	17.85
485	5	G1F006	2/21/19	0	6	18.5
485	6	G1F006	2/21/19	0	6	18.5
69	11	G1F006	10/17/14	0	8	18.55
69	10	G1F006	10/17/14	0	8	18.55
109	7	G1F006	4/20/15	0	6	18
166	10	G1F006	1/4/16	0	7	17.9
166	12	G1F006	1/4/16	0	7	17.9
205	9	G1F006	5/26/16	0	8	18.1
205	10	G1F006	5/26/16	0	8	18.1
205	9	G1F006	5/26/16	0	8	18.1
237	10	G1F006	9/23/16	0	7	17.95
284	10	G1F006	1/19/17	0	7	17.95
